episode_id,timestep,split,node_id,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,mission_priority,in_disruption_zone,node_degree,dist_to_cs,dist_to_uav,can_reach_cs
0,0,train,S0,561.44,192.01,-4.77,0.54,4.8,96.17,2,0,2,110.63,611.09,0
0,0,train,S1,305.44,375.39,1.02,-1.37,1.7,87.23,3,0,1,337.19,467.06,0
0,0,train,S2,596.99,413.72,-0.07,-1.73,1.73,72.09,3,0,5,328.37,398.27,0
0,0,train,S3,334.34,784.35,-1.07,-1.66,1.98,84.3,2,0,2,704.12,166.39,0
0,0,train,S4,435.86,665.35,2.39,0.54,2.45,95.65,1,0,3,568.98,149.15,0
0,0,train,S5,606.27,543.27,3.74,-2.57,4.54,70.31,2,0,5,455.83,277.86,0
0,0,train,S6,592.85,689.12,-0.26,0.99,1.02,92.36,3,0,4,596.39,144.63,0
0,0,train,S7,372.4,446.0,-0.39,-1.0,1.07,84.09,2,0,2,368.78,376.29,0
0,0,train,S8,689.8,825.03,-1.44,-1.76,2.27,90.48,1,0,1,749.46,191.44,0
0,0,train,S9,540.69,348.18,0.95,3.6,3.73,85.59,2,0,3,251.49,453.65,0
0,0,train,S10,664.94,180.63,4.3,-1.57,4.57,80.13,2,0,3,183.6,640.96,0
0,0,train,S11,393.55,522.0,-3.02,1.24,3.26,79.66,3,0,1,435.22,297.68,0
0,0,train,S12,342.88,773.14,3.83,1.46,4.1,83.83,2,0,3,691.23,159.4,0
0,0,train,S13,574.84,661.79,-2.44,1.34,2.78,94.08,2,0,5,566.75,157.17,0
0,0,train,S14,651.19,496.83,4.79,-1.31,4.97,84.77,3,0,3,424.66,338.77,0
0,0,train,S15,656.39,302.84,1.12,3.74,3.9,86.13,1,0,5,256.13,521.18,0
0,0,train,S16,474.6,738.42,-1.61,-1.54,2.23,83.19,1,0,6,638.92,66.61,0
0,0,train,S17,569.19,409.26,-0.56,4.63,4.66,70.8,3,0,5,316.91,396.82,0
0,0,train,S18,519.66,619.48,-0.4,-1.01,1.08,89.38,3,1,4,519.85,181.59,0
0,0,train,S19,602.0,213.34,-0.64,-4.13,4.18,86.24,2,0,3,152.47,595.46,0
0,1,train,S0,556.66,192.54,-4.77,0.54,4.8,96.16,2,0,2,108.51,580.23,0
0,1,train,S1,306.46,374.02,1.02,-1.37,1.7,87.22,3,0,1,335.48,440.75,0
0,1,train,S2,596.92,412.0,-0.07,-1.73,1.73,72.08,3,0,5,326.7,370.89,0
0,1,train,S3,333.27,782.69,-1.07,-1.66,1.98,84.29,2,0,2,702.76,167.21,0
0,1,train,S4,438.24,665.89,2.39,0.54,2.45,95.64,1,0,3,569.25,121.05,0
0,1,train,S5,610.02,540.7,3.74,-2.57,4.54,70.3,2,0,5,454.22,254.33,0
0,1,train,S6,592.59,690.1,-0.26,0.99,1.02,92.35,3,0,4,597.32,122.3,0
0,1,train,S7,372.02,445.0,-0.39,-1.0,1.07,84.08,2,0,2,367.97,349.29,0
0,1,train,S8,688.36,823.28,-1.44,-1.76,2.27,90.47,1,0,1,747.4,195.75,0
0,1,train,S9,541.64,351.79,0.95,3.6,3.73,85.58,2,1,3,255.21,420.28,0
0,1,train,S10,669.24,179.06,4.3,-1.57,4.57,80.12,2,0,3,186.8,614.69,0
0,1,train,S11,390.53,523.23,-3.02,1.24,3.26,79.65,3,0,1,437.16,269.96,0
0,1,train,S12,346.71,774.6,3.83,1.46,4.1,83.82,2,0,3,691.8,153.36,0
0,1,train,S13,572.39,663.12,-2.44,1.34,2.78,94.07,2,0,5,567.76,129.09,0
0,1,train,S14,655.98,495.52,4.79,-1.31,4.97,84.76,3,0,3,425.17,315.7,0
0,1,train,S15,657.51,306.58,1.12,3.74,3.9,86.12,1,0,5,259.78,489.46,0
0,1,train,S16,472.98,736.88,-1.61,-1.54,2.23,83.18,1,0,6,637.45,42.75,0
0,1,train,S17,568.63,413.89,-0.56,4.63,4.66,70.79,3,0,5,321.31,362.66,0
0,1,train,S18,519.27,618.47,-0.4,-1.01,1.08,89.37,3,1,4,518.83,152.75,0
0,1,train,S19,601.35,209.21,-0.64,-4.13,4.18,86.23,2,0,3,148.99,569.87,0
0,2,train,S0,551.89,193.08,-4.77,0.54,4.8,96.15,2,0,2,106.57,549.38,0
0,2,train,S1,307.47,372.66,1.02,-1.37,1.7,87.21,3,0,1,333.78,414.74,0
0,2,train,S2,596.85,410.27,-0.07,-1.73,1.73,72.07,3,0,5,325.03,343.66,0
0,2,train,S3,332.19,781.03,-1.07,-1.66,1.98,84.28,2,0,2,701.4,172.75,0
0,2,train,S4,440.63,666.42,2.39,0.54,2.45,95.63,1,0,3,569.52,94.54,0
0,2,train,S5,613.76,538.13,3.74,-2.57,4.54,70.29,2,0,5,452.66,231.72,0
0,2,train,S6,592.33,691.09,-0.26,0.99,1.02,92.34,3,0,4,598.26,104.48,0
0,2,train,S7,371.63,444.0,-0.39,-1.0,1.07,84.07,2,0,2,367.17,322.64,0
0,2,train,S8,686.92,821.52,-1.44,-1.76,2.27,90.46,1,0,1,745.34,203.92,0
0,2,train,S9,542.59,355.39,0.95,3.6,3.73,85.57,2,1,3,258.92,386.96,0
0,2,train,S10,673.53,177.5,4.3,-1.57,4.57,80.11,2,0,3,190.05,588.66,0
